"","adaptive capacity","agricultural water use","biodiversity","ecosystem services","environmental disturbance regimes","forest management approaches and the wildfire response","formal legal governance, policy, and policy innovations","incorporation of traditional watershed knowledges into broader understanding and approaches","informal governance","infrastructure","land use and land cover","municipal water use","public watershed education approaches and knowledge","social capital including trust, collaboration, and partnership","soil structure and function","technical innovations","water quality, quantity, and availability","watershed economics","weather and climate regimes","the wildfire regime"
"municipal water use",0.752772652709081,0.487950036474267,0.781735959970572,0.755928946018455,0.377964473009227,0.894427190999916,0.462910049886276,0.632455532033676,0.755928946018455,0.516397779494322,0.447213595499958,NA,0.755928946018455,1.19522860933439,1.04880884817015,0.517549169506766,0.462910049886276,0.447213595499958,0.600925212577332,0.547722557505166
"public watershed education approaches and knowledge",0.752772652709081,0.786795792469443,0.666666666666667,0.690065559342354,0.534522483824849,1.09544511501033,0.744023809142845,0.408248290463863,0.816496580927726,1.211060141639,1.14017542509914,0.781735959970572,NA,0.534522483824849,1.16904519445001,0.640869944461656,0.744023809142845,1.30384048104053,0.5,0.516397779494322
"social capital including trust, collaboration, and partnership",0.408248290463863,0.755928946018455,0.707106781186548,0.816496580927726,0.690065559342354,0.752772652709081,0.886405260427918,0.516397779494322,0.487950036474267,0.516397779494322,0.836660026534076,0.833333333333333,0.487950036474267,NA,1.16904519445001,0.707106781186548,0.886405260427918,0.447213595499958,0.881917103688197,0.752772652709081
"soil structure and function",0.816496580927726,0.534522483824849,0.726483157256779,0.755928946018455,0.487950036474267,0.547722557505166,0.83452296039628,0.632455532033676,0.487950036474267,0.816496580927726,0,0.866025403784439,0.690065559342354,0.640869944461656,NA,0.707106781186548,0.517549169506766,1.14017542509914,0.440958551844098,0.516397779494322
"technical innovations",0.816496580927726,0.816496580927726,0.707106781186548,1.15470053837925,0.534522483824849,0.752772652709081,0.83452296039628,0.894427190999916,0.755928946018455,1.03279555898864,0.547722557505166,0.5,0.816496580927726,1.06066017177982,1.16904519445001,NA,0.353553390593274,0.447213595499958,0.833333333333333,0.983192080250175
"water quality, quantity, and availability",0.816496580927726,0.755928946018455,0.707106781186547,0.377964473009227,0,0,0.462910049886276,0.632455532033676,0.816496580927726,0,0.447213595499958,0.666666666666667,0.690065559342354,0.916125381312904,0.408248290463863,0.353553390593274,NA,0.547722557505166,0,0.408248290463863
"watershed economics",0.516397779494322,0.786795792469443,1,0.534522483824849,0.786795792469443,0.632455532033676,0.534522483824849,0.752772652709081,0.534522483824849,0,0.547722557505166,0.52704627669473,1.13389341902768,0.755928946018454,1.03279555898864,0.534522483824849,0.462910049886276,NA,0.666666666666667,0.816496580927726
"weather and climate regimes",0.632455532033676,0.690065559342354,0.97182531580755,0.899735410842437,0.975900072948533,0.894427190999916,0.353553390593274,0.632455532033676,1,0.516397779494322,0.547722557505166,0.707106781186548,0.534522483824849,0.83452296039628,1.09544511501033,0.916125381312904,1.06066017177982,0.836660026534076,NA,0.983192080250175
"the wildfire regime",0.983192080250175,0.786795792469443,0.866025403784439,0.690065559342354,0,0,0.755928946018454,0.894427190999916,0.487950036474267,0.836660026534076,0.547722557505166,0.5,0.975900072948533,0.925820099772551,0.894427190999916,0.744023809142845,0.755928946018454,0.447213595499958,0,NA
"adaptive capacity",NA,0.534522483824849,0.726483157256779,0.377964473009227,0,0.516397779494322,0.353553390593274,0,0.786795792469443,0.516397779494322,0.547722557505166,0.866025403784439,0.816496580927726,0,0.752772652709081,0.462910049886276,0.462910049886276,0.447213595499958,0.707106781186547,0.516397779494322
